Country,Locality,Site,eventDate,decimalLongitude,decimalLatitude,quadrats high tide,quadrats mid tide,quadrats low tide,records high tide,records mid tide,records low tide,total quadrats,total records,spp number high,spp number mid,spp number low,total spp,
ARGENTINA,PTO MADRYN,PUNTA CUEVAS,11/5/18,-65.00171,-42.77986,10,10,10,23,69,50,30,142,6,11,13,20,
ARGENTINA,PTO MADRYN,PUNTA ESTE,10/25/18,-64.95264,-42.78511,10,10,10,31,53,111,30,195,5,7,24,26,
ARGENTINA,PTO MADRYN,PUNTA LOMA,10/26/18,-64.9017,-42.8112,10,10,10,23,74,118,30,215,4,12,25,29,
BRAZIL,ARRAIAL DO CABO,ATALAIA,12/5/18,-42.01,-22.9864,10,10,10,49,64,71,30,184,17,17,17,21,
BRAZIL,ARRAIAL DO CABO,ATALAIA,3/7/19,-42.01,-22.9864,10,10,10,215,0,0,30,215,19,0,0,19,
BRAZIL,ARRAIAL DO CABO,FORTALEZA,11/21/18,-42.0129,-22.9708,10,10,10,37,62,108,30,207,4,19,22,22,
BRAZIL,ARRAIAL DO CABO,FORTALEZA,2/19/19,-42.0129,-22.9708,10,10,10,28,58,105,30,191,19,11,22,24,
BRAZIL,ARRAIAL DO CABO,PRAINHA,11/8/18,-42.0241,-22.9543,10,10,10,24,45,78,30,147,3,19,18,22,
BRAZIL,ARRAIAL DO CABO,PRAINHA,2/18/19,-42.0241,-22.9543,10,10,10,28,77,102,30,207,14,14,18,21,
BRAZIL,COSTA DAS ALGAS,COSTA BELA,10/25/18,-40.175,-20.073,10,10,10,80,52,80,30,212,14,8,13,23,
BRAZIL,COSTA DAS ALGAS,ENSEADA DAS GARCAS,10/24/18,-40.164,-20.037,10,10,10,40,89,86,30,215,7,21,14,28,
BRAZIL,COSTA DAS ALGAS,GRAMUTE,10/9/18,-40.134,-19.966,10,10,10,24,60,64,30,148,7,14,16,25,
BRAZIL,FERNANDO DE NORONHA,LEAO,2/25/19,-32.441213,-3.870552,10,10,10,12,33,16,30,61,3,4,3,5,
BRAZIL,FERNANDO DE NORONHA,AIR FRANCE,2/21/19,-32.400079,-3.832299,10,10,10,10,17,31,30,58,1,3,7,7,
BRAZIL,FERNANDO DE NORONHA,BOLDRO,2/22/19,-32.431841,-3.845675,10,10,10,10,14,24,30,48,1,4,7,8,
BRAZIL,FERNANDO DE NORONHA,CAIEIRAS,2/24/19,-32.39823,-3.836002,8,8,10,11,15,24,26,50,2,6,6,7,
CHILE,ANTARCTICA,ARTIGAS,2/19/19,-58.878724,-62.185609,9,10,10,20,26,37,29,83,4,4,11,16,
CHILE,ANTARCTICA,PUNTA CRISTIAN,2/18/19,-58.948965,-62.19904633,10,10,10,12,22,45,30,79,3,4,7,10,
CHILE,CONCEPCION,COCHOLGUE NORTE,9/26/18,-72.978785,-36.59478533,10,10,10,35,59,111,30,205,9,15,26,37,
CHILE,CONCEPCION,COCHOLGUE SUR,10/8/18,-72.98060833,-36.60892833,10,10,10,24,68,64,30,156,6,16,21,29,
CHILE,CONCEPCION,DICHATO,11/19/18,-72.93373833,-36.539318,10,10,10,29,57,55,30,141,5,14,16,23,
CHILE,PUNTA ARENAS,PUERTO DE HAMBRE,10/5/18,-70.93074333,-53.61088967,10,10,10,24,49,59,30,132,8,13,18,28,
CHILE,RE¥ACA,VIÑA DEL MAR,11/14/18,-71.5492,-32.9587,10,10,10,35,78,60,30,173,9,26,22,41,
COLOMBIA,ISLA GORGONA,LA MANCORA,13/10/2018,-78.198467,2.95695,0,10,10,0,34,48,20,82,,,,,
COLOMBIA,ISLA GORGONA,LA MANCORA,14/10/2018,-78.198567,2.955083,9,0,0,12,0,0,9,12,6,15,22,27,this is using data from both sampling dates
COLOMBIA,ISLA GORGONA,LA VENTANA,10/10/18,-78.203117,2.934317,10,10,0,22,54,0,20,76,,,,,
COLOMBIA,ISLA GORGONA,LA VENTANA,11/10/18,-78.203117,2.934317,0,0,10,0,0,88,10,88,8,30,38,56,this is using data from both sampling dates
COLOMBIA,ISLA GORGONA,PLAYA VERDE,12/10/18,-78.198133,2.947517,8,10,0,23,45,0,18,68,,,,,
COLOMBIA,ISLA GORGONA,PLAYA VERDE,14/10/2018,-78.198133,2.947517,0,0,10,0,0,48,10,48,10,10,11,23,this is using data from both sampling dates
ECUADOR,SANTA CRUZ,CHARLES DARWIN FOUNDATION,3/27/19,-90.303812,-0.743373,4,8,7,5,11,11,19,27,3,5,6,10,
ECUADOR,SANTA CRUZ,RATONERA,3/28/19,-90.301799,-0.744116,2,4,9,2,6,16,15,24,2,3,5,7,
ECUADOR,SANTA CRUZ,TORTUGA BAY,3/29/19,-90.339391,-0.764513,0,6,10,0,10,19,16,29,0,5,8,8,
USA,BIDDEFORD,BIDDEFORD,7/18/18,-70.343383,43.43986,5,5,0,35,28,0,10,63,12,12,0,13,
USA,CENTRAL MAINE,HAMILTON COVE,7/13/18,-67.01016,44.788,5,5,0,41,42,0,10,83,14,16,0,17,
USA,CENTRAL MAINE,MOOSE COVE,7/15/18,-67.098695,44.731567,0,10,0,0,64,0,10,64,0,20,0,20,
USA,CHAMBERLAIN,CHAMBERLAIN,7/18/18,-69.475932,43.884232,10,10,0,42,34,0,20,76,14,12,0,17,
USA,GIANTSTAIRS,GIANTSTAIRS,7/16/18,-69.992314,43.725573,5,5,0,29,51,0,10,80,12,15,0,19,
USA,MASSACHUSETTS,PUMPHOUSE,7/16/18,-70.906528,42.416824,5,5,0,28,31,0,10,59,8,8,0,9,